breed_name,temperment,image,description,akc_rank,height,weight,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Teddy Roosevelt Terrier,"Playful, Versatile, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190133/Teddy-Roosevelt-Terrier-on-White-01.jpg,"The Teddy Roosevelt Terrier is a lively, friendly, affectionate dog with his family but can be somewhat of a one-person dog. With his strong protective nature and well-developed pack instincts, the Teddy Roosevelt Terrier gets along well with children (when raised with them), cats, and other dogs. He is a bold, tenacious hunter with seemingly unlimited energy whose size and endurance makes him an excellent hunter of squirrels and vermin.",NA,8-15 inches,8-25 pounds,14-16 years,Miscellaneous Class,40%,60%,80%,100%,80%,"['Black & White', 'Blue & White', 'Blue Fawn & White', 'Chocolate & White', 'Fawn & White', 'Lemon & White', 'Red & White', 'Sable & White', 'Silver & White', 'White & Apricot', 'White & Black', 'White & Blue', 'White & Blue Fawn', 'White & Chocolate', 'White & Fawn', 'White & Lemon', 'White & Red', 'White & Sable', 'White & Silver']"
Thai Ridgeback,"Loyal, Independent, Agile",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22204051/Thai-Ridgeback.4.jpg,"The Thai Ridgeback is tough and active, with an excellent jumping ability. He is highly intelligent, has a strong survival instinct, and is a loyal family dog.",NA,20-24 inches,35-75 pounds,12-13 years,Foundation Stock Service,20%,60%,80%,40%,40%,"['Black', 'Blue', 'Red', 'Yellow']"
Tibetan Mastiff,"Independent, Reserved, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28163233/Tibetan-Mastiff-laying-down-outdoors.jpg,"Watchful, aloof, imposing, and intimidating: The ancient Tibetan Mastiff is the guardian dog supreme. These densely-coated giants are mellow and calm around the house, sweetly devoted to family, and aloof and territorial with strangers.",Ranks 131 of 197,"minimum 26 inches (male), minimum 24 inches (female)","90-150 pounds (male), 70-120 pounds (female)",10-12 years,Working Group,60%,60%,60%,40%,60%,"['Black', 'Black & Tan', 'Blue Gray', 'Blue Gray & Tan', 'Brown', 'Brown & Tan', 'Red Gold', 'Red Gold Sable', 'Cream', 'Cream Sable']"
Tibetan Spaniel,"Playful, Bright, Self-Confident",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28170708/Tibetan-Spaniel-laying-down-outdoors.jpg,"The frisky and curious Tibetan Spaniel was bred ages ago for sentinel work on the walls of Tibetan monasteries. Known for a flat, silky coat and “lion’s mane” around the neck, the Tibetan Spaniel forms a tight, worshipful bond with their humans.",Ranks 119 of 197,10 inches,9-15 pounds,12-15 years,Non-Sporting Group,40%,60%,40%,60%,60%,"['Black', 'Black & Tan', 'Cream', 'Gold', 'Red', 'Sable', 'Silver Sable', 'White']"
Tibetan Terrier,"Affectionate, Loyal, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223455/Tibetan-Terrier-On-White-01.jpg,"The Tibetan Terrier, “Holy Dog of Tibet,” is an ancient watchdog and companion long associated with Buddhist monasteries. A profusely coated, small-to-medium-sized dog with “snowshoe” feet, this breed is affectionate, sensitive, and clever.",Ranks 96 of 197,14-17 inches,"18-30 pounds (male), slightly smaller (female)",15-16 years,Non-Sporting Group,60%,60%,80%,40%,40%,"['Black', 'Black & White', 'Black White & Gold', 'Black & Brindle', 'Black & Brown', 'Black & Gold', 'Black & White Brindle', 'Black Brown & White', 'Brindle', 'Brindle & White', 'Brown', 'Brown & White', 'Fawn', 'Fawn & White', 'Gold', 'Gold & White', 'Golden Brindle', 'Gray', 'Gray & White', 'Red', 'Red & White', 'Red Brindle', 'Sable', 'Sable & White', 'Silver', 'Silver & Black', 'Silver & White', 'White', 'White & Black', 'White & Gold']"
Tornjak,"Friendly, Courageous, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18151235/Tornjak-standing-in-the-woods.jpg,"The Tornjak is of steady disposition, friendly, courageous, obedient, intelligent, and full of dignity and self-confidence. Fierce in guarding property entrusted to him, he cannot be bribed and is suspicious of strangers. He is devoted to his master, very calm in his presence and very affectionate towards the people living in his immediate vicinity.",NA,23-28 inches,62-110 pounds,12-14 years,Foundation Stock Service,Missing 'Care' Scales for 'Tornjak',Missing 'Care' Scales for 'Tornjak',Missing 'Care' Scales for 'Tornjak',Missing 'Care' Scales for 'Tornjak',Missing 'Care' Scales for 'Tornjak',['White']
Tosa,"Fearless, Patient, Vigilant",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194713/Tosa-on-White-01.jpg,"The Tosa's temperament is marked by patience, composure, boldness and courage. He is normally a tranquil, quiet, and obedient dog, with a calm but vigilant demeanor. With a stately manner and robust build, they were formerly bred for fighting, but are now used as watchdogs.",NA,Minimum 21.5-23.5 inches,100-200 pounds,10-12 years,Foundation Stock Service,20%,40%,40%,60%,40%,"['Black', 'Brindle', 'Fawn', 'Red']"
Toy Fox Terrier,"Friendly, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223410/Toy-Fox-Terrier-On-White-03.jpg,"A diminutive satin-coated terrier with an amusing toy-dog personality, the Toy Fox Terrier is, as breed fanciers say, “truly a toy and a terrier.” They began as barnyard ratters but are today beguiling companions with a big personality.",Ranks 111 of 197,8.5-11.5 inches,3.5-7 pounds,13-15 years,Toy Group,40%,40%,80%,100%,80%,"['White & Black', 'White & Tan', 'White Black & Tan', 'White, Chocolate & Tan', 'White & Chocolate']"
Transylvanian Hound,"Courageous, Good-Natured, Determined",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223400/Transylvanian-Hound-On-White-01.jpg,"The Transylvanian Hound is good-natured, courageous, and enduring. At his foundation, he is quiet and even, but also determined and lively. The environmental conditions of the Carpathians made the breed a tough, brave dog.",NA,22-26 inches,Minimum 55 pounds,10-14 years,Foundation Stock Service,Missing 'Care' Scales for 'Transylvanian Hound',Missing 'Care' Scales for 'Transylvanian Hound',Missing 'Care' Scales for 'Transylvanian Hound',Missing 'Care' Scales for 'Transylvanian Hound',Missing 'Care' Scales for 'Transylvanian Hound',"['Black & Tan', 'Black Tan & White', 'Red & White']"
Treeing Tennessee Brindle,"Friendly, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205445/Treeing-Tennessee-Brindle-MP.jpg,"The Treeing Tennessee Brindle is an exceptionally sturdy and healthy breed. They are intelligent, brave, courageous and loyal companions with a strong inbred instinct for hunting. The breed bays during a hunt, which means they cry out to the hunter.",NA,16-24 inches,30-50 pounds,10-12 years,Foundation Stock Service,Missing 'Care' Scales for 'Treeing Tennessee Brindle',Missing 'Care' Scales for 'Treeing Tennessee Brindle',Missing 'Care' Scales for 'Treeing Tennessee Brindle',Missing 'Care' Scales for 'Treeing Tennessee Brindle',Missing 'Care' Scales for 'Treeing Tennessee Brindle',"['Black', 'Brindle']"
Treeing Walker Coonhound,"Smart, Brave, Courteous",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28154358/Treeing-Walker-Coonhound.jpg,"A smart, brave, and sensible hunter, the Treeing Walker Coonhound is a genuine American favorite, nicknamed ""The People’s Choice."" Don’t let the name fool you—Walkers are runners and are capable of covering a lot of ground in a hurry.",Ranks 137 of 197,"22-27 inches (male), 20-25 inches (female)",50-70 pounds,12-13 years,Hound Group,20%,60%,60%,40%,80%,"['Black', 'Tri-Colored', 'White']"
Vizsla,"Affectionate, Gentle, Energetic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223307/Vizsla-On-White-01.jpg,"The Vizsla is a versatile, red-coated gundog built for long days in the field. For centuries, these rugged but elegant athletes have been the pride of Hungarian sportsmen and their popularity in America increases with each passing year.",Ranks 31 of 197,"22-24 inches (male), 21-23 inches (female)","55-60 pounds (male), 44-55 pounds (female)",12-14 years,Sporting Group,40%,60%,80%,100%,80%,"['Golden Rust', 'Golden', 'Red', 'Red Golden', 'Rust', 'Rust Golden', 'Sandy Yellow']"
Weimaraner,"Friendly, Fearless, Obedient",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17155658/Weimaraner-running-into-water.jpg,"The Weimaraner, Germany’s sleek and swift “Gray Ghost,” is beloved by hunters and pet owners alike for their friendliness, obedience, and beauty. They enjoy exercise, and plenty of it, along with lots of quality time with their humans.",Ranks 36 of 197,"25-27 inches (male), 23-25 inches (female)","70-90 pounds (male), 55-75 pounds (female)",10-13 years,Sporting Group,40%,60%,100%,100%,80%,"['Blue', 'Gray', 'Silver Gray']"
Welsh Springer Spaniel,"Happy, Reserved, Upbeat",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30125529/Welsh-Springer-Spaniel-head-portrait-outdoors.jpg,"The Welsh Springer Spaniel is a vigorous, medium-sized bird dog of happy disposition, known for versatility in the field, companionability at home, and dashing good looks anywhere. The Welshie is among Britain's oldest sporting breeds.",Ranks 128 of 197,"18-19 inches (male), 17-18 inches (female)","40-55 pounds (male), 35-50 pounds (female)",12-15 years,Sporting Group,Missing 'Care' Scales for 'Welsh Springer Spaniel',Missing 'Care' Scales for 'Welsh Springer Spaniel',Missing 'Care' Scales for 'Welsh Springer Spaniel',Missing 'Care' Scales for 'Welsh Springer Spaniel',Missing 'Care' Scales for 'Welsh Springer Spaniel',['Red & White']
Welsh Terrier,"Friendly, Spirited, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30132230/Welsh-Terrier-standing-stacked-in-the-grass.jpg,"The Welsh Terrier is as alert and spirited as any self-respecting terrier, but a bit calmer than most—“game, not quarrelsome,” as breed fanciers say. The Welshman was bred to do battle with badgers, otters, and other dangerous opponents.",Ranks 107 of 197,"15 inches (male), porportionally smaller (female)","20 pounds, porportionally smaller (female)",12-15 years,Terrier Group,60%,40%,80%,60%,100%,"['Black & Tan', 'Grizzle & Tan', 'Black Grizzle & Tan']"
West Highland White Terrier,"Loyal, Happy, Entertaining",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30142244/West-Highland-White-Terrier-laying-down-in-the-grass.jpg,"Smart, confident, and always entertaining at play, the adorable West Highland White Terrier (Westie, for short) has charmed owners for over 300 years. This diminutive but sturdy earthdog is among the most popular of the small terriers.",Ranks 42 of 197,"11 inches (male). 10 inches, female",15-20 pounds,13-15 years,Terrier Group,80%,60%,60%,60%,80%,['White']
Wetterhoun,"Loyal, Good-Natured, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/01/29131052/Wetterhoun-black.jpg,"The Wetterhoun, although originally bred for hunting otters, now make excellent companions, watchdogs, and can excel in a variety of sports due to their perseverant nature.  The Wetterhoun is almost never seen apart from its owner; they enjoy their company as much as the owner enjoys theirs.",NA,"23 inches (male), 21. 5 inches (female)",50-75 pounds,13 years,Foundation Stock Service,20%,40%,60%,20%,40%,"['Black & White', 'Brown & White', 'Brown']"
Whippet,"Affectionate, Playful, Calm",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223025/Whippet-On-White-01.jpg,"The sleek, sweet-faced Whippet, the “Poor Man’s Racehorse,” is lightning quick. He is an amiable, dignified, and gentle soul, but give him something to chase and he’s all business. The name Whippet is synonymous with streamlined grace.",Ranks 61 of 197,"19-22 inches (male), 18-21 inches (female)",25-40 pounds,12-15 years,Hound Group,20%,40%,60%,40%,40%,"['Black', 'Blue', 'Blue Brindle', 'Blue Fawn', 'Cream', 'Fawn', 'Fawn Brindle', 'Red', 'Red Brindle', 'White', 'White & Black', 'White & Blue', 'White & Blue Brindle', 'White & Blue Fawn', 'White & Fawn', 'White & Fawn Brindle', 'White & Red', 'White & Red Brindle']"
Wire Fox Terrier,"Confident, Alert, Gregarious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02163205/Wire-Fox-Terrier.1.jpg,"The Wire Fox Terrier breed standard says they should be “on the tip-toe of expectation at the slightest provocation.” Once a mainstay of traditional British foxhunts, today’s Wire is a handsome and amusing companion and master show dog.",Ranks 101 of 197,15½ inches,"18 pounds (male), 15-17 (female)",12-15 years,Terrier Group,40%,20%,60%,60%,60%,"['White', 'White & Black', 'White & Tan', 'White Black & Tan', 'White Tan & Black']"
Wirehaired Pointing Griffon,"Friendly, Devoted, Trainable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17163651/Wirehaired-Pointing-Griffon-laying-in-a-field.jpg,"The hardworking Wirehaired Pointing Griffon, renowned as the “supreme gundog,” is known for the harsh, low-shedding coat the breed is named for. Outgoing, eager, and quick-witted, Griffs are incomparable in the field and loving at home.",Ranks 65 of 197,"22-24 inches (male), 20-22 inches (female)","50-70 pounds (male), 35-50 pounds (female)",12-15 years,Sporting Group,40%,60%,100%,60%,60%,"['Brown & Gray', 'Chestnut & Gray', 'Brown', 'Chestnut', 'White', 'White & Brown', 'White & Orange']"
Wirehaired Vizsla,"Gentle, Loyal, Trainable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31171727/Wirehaired-Vizsla-wading-into-a-lake.jpg,"The Wirehaired Vizsla is an exuberant hunter on land or lake, whose dense, wiry coat distinguishes him from his close cousin, the Vizsla. Calm and gentle around the house, these upbeat Hungarians like running, swimming, and upbeat play.",Ranks 167 of 197,"23-25 inches (male), 21.5-23 inches (female)","55-65 pounds (male), 45-55 pounds (female)",12-14 years,Sporting Group,20%,60%,80%,60%,60%,"['Golden Rust', 'Golden', 'Red', 'Red Golden', 'Rust', 'Rust Golden', 'Sandy Yellow']"
Working Kelpie,"Alert, Eager, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15135603/Working-Kelpie.2.jpg,"The Working Kelpie is extremely alert, eager and highly intelligent. He possesses an open, friendly, active but placid disposition with a good balance between keenness to work and ability to relax. With an almost inexhaustible energy, the Working Kelpie has a marked loyalty and devotion to work and a strongly-inherited natural instinct and aptitude in working sheep and other livestock, both in open country and in the yards.",NA,19-25 inches,28-60 pounds,12-15 years,Foundation Stock Service,20%,60%,80%,40%,60%,"['Black', 'Blue', 'Fawn', 'Red']"
Xoloitzcuintli,"Loyal, Alert, Calm",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12222734/Xoloitzcuintli-On-White-01.jpg,"The 3,000-year-old Xoloitzcuintli (pronounced ""show-low-eats-QUEENT-lee""), the ancient Aztec dog of the gods, is today a loving companion and vigilant watchdog. The alert and loyal Xolo comes in three sizes, and in either hairless or coated varieties.",Ranks 140 of 197,"10-14 inches (toy), 14-18 inches (miniature), 18-23 inches (standard)","10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)",13-18 years,Non-Sporting Group,20%,20%,80%,60%,60%,"['Black', 'Brindle', 'Bronze', 'Dark Brown', 'Fawn', 'Gray', 'Liver', 'Palomino', 'Red', 'White', 'Black & White', 'Black White & Tan', 'Merle', 'Pink & Brown', 'Tan', 'White & Black']"
Yakutian Laika,"Affectionate, Intelligent, Active",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/21194342/Yakutian-Laika1.jpg,"Yakutian Laikas are used for herding, pulling sleds and hunting. They were developed in ancient times for natives of Yakutia as indispensable assistants. This versatile dog will be happy by your side or participating in agility, coursing ability, herding or sledding.",NA,21-23 inches,40-55 pounds,10-12 years,Foundation Stock Service,40%,60%,80%,20%,40%,"['Black & White', 'Brown & White', 'Gray & White', 'White', 'White & Black', 'White & Gray', 'White & Red']"
